RecordID,EmployeeID,DepartmentID,Year,Month,BaseSalary,Bonus,OvertimeHours,AbsenteeismDays,PerformanceRating,TrainingHours,AttritionFlag,WorkLifeBalanceScore,JobSatisfactionScore
31,1297,2,2024,10,110193,4576,16,7,5,29,0,1,4
32,1164,1,2024,10,31256,26707,22,6,3,31,0,1,1
33,1085,3,2022,11,89800,1100,33,2,4,32,0,1,1
34,1072,8,2023,12,119937,8864,4,0,2,21,0,5,5
35,1055,2,2022,2,66548,8708,14,1,1,29,0,5,2
36,1393,6,2022,7,97090,18916,2,3,3,3,1,5,1
37,1047,8,2023,1,103200,24154,18,6,4,22,0,5,5
38,1399,7,2023,6,67367,20054,27,0,2,24,0,2,4
39,1238,2,2022,6,114922,17165,2,5,5,11,1,5,5
40,1104,2,2022,3,95382,14439,37,1,3,16,0,2,5
41,1210,6,2022,2,51205,19907,3,4,3,14,0,3,3
42,1042,7,2024,12,50570,11750,23,3,3,9,0,5,2
43,1316,3,2024,2,55255,22515,30,6,1,34,0,3,2
44,1268,4,2022,9,46182,26962,10,5,4,28,0,5,4
45,1386,3,2022,11,64373,21166,36,6,5,11,0,3,5
46,1263,7,2024,5,68019,9781,0,6,4,0,0,4,4
47,1336,5,2024,7,87619,4995,8,5,3,0,0,3,4
48,1387,8,2023,12,41043,17885,16,4,3,9,1,2,2
49,1365,6,2022,5,70532,11986,0,5,3,17,0,1,2
50,1259,3,2022,7,90936,12510,2,1,5,1,0,3,2
51,1283,2,2023,4,44239,19464,25,7,3,7,1,1,1
52,1114,6,2023,8,35416,9268,30,6,4,21,0,4,5
53,1363,1,2022,11,28412,25676,25,4,3,21,0,4,4
54,1040,7,2023,10,106976,502,22,6,3,25,1,2,5
55,1220,8,2022,11,49406,9531,29,5,3,25,0,2,4
56,1129,3,2024,10,26875,20269,9,4,2,8,0,3,4
57,1008,6,2023,7,62066,8009,7,4,4,20,1,5,4
58,1101,8,2022,10,30752,17007,24,0,3,30,0,4,4
59,1380,3,2023,5,111753,26462,21,0,4,5,0,1,3
60,1176,6,2023,11,103025,11542,14,7,2,13,1,5,3
61,1107,2,2024,6,26353,17434,9,0,5,32,0,4,1
62,1101,1,2023,5,51986,29765,19,5,3,6,1,3,2
63,1260,1,2022,7,111907,23769,22,3,5,23,0,4,4
64,1366,5,2024,12,39691,22465,0,1,4,8,0,2,5
65,1246,6,2022,2,94847,21868,1,5,5,10,0,1,3
66,1275,3,2024,5,73075,20156,18,6,3,22,0,1,2
67,1032,1,2023,10,35794,20300,13,0,4,1,0,2,1
68,1137,7,2023,3,93470,20402,7,4,3,14,0,5,2
69,1012,1,2022,9,41406,17713,37,5,3,34,0,2,4
70,1395,4,2023,6,100930,13435,11,4,3,35,0,1,2
71,1302,4,2024,10,51872,4114,25,7,3,27,0,3,4
72,1375,1,2024,3,66708,13568,26,6,5,38,0,5,3
73,1016,6,2022,7,45800,3367,28,4,2,3,1,4,3
74,1129,5,2022,4,68397,8095,14,4,4,9,0,3,4
75,1063,1,2024,3,62909,5141,0,7,4,5,0,5,5
76,1109,2,2024,8,46352,3951,27,2,4,29,1,1,3
77,1375,8,2022,4,118848,21468,2,3,4,34,0,1,5
78,1021,3,2023,11,40438,27073,17,1,2,9,0,3,4
79,1158,5,2023,1,113921,14887,33,1,4,31,0,5,4
80,1269,2,2024,6,69999,1573,31,0,3,2,1,4,3
81,1162,5,2022,10,43482,13359,28,2,5,25,0,4,5
82,1260,2,2022,11,57471,19018,24,5,4,14,0,2,4
83,1102,3,2024,11,72279,2768,25,7,5,16,1,3,3
84,1223,3,2022,1,79213,5302,38,5,1,26,1,5,4
85,1059,4,2023,5,38026,13746,7,1,3,17,0,3,2
86,1247,6,2023,7,110184,22634,18,3,3,18,0,4,2
87,1128,2,2023,6,30435,1211,21,4,1,11,1,5,3
88,1283,8,2023,2,33493,25351,28,6,3,23,0,1,4
89,1325,4,2023,11,97227,15445,32,0,4,4,0,1,3
90,1025,2,2022,4,84321,22339,37,3,3,23,0,5,1
91,1131,4,2023,11,27763,15815,34,1,4,26,0,3,3
92,1353,3,2024,2,45389,1160,2,2,5,29,0,3,3
93,1196,5,2024,11,56498,22361,18,0,4,14,0,1,2
94,1281,7,2022,1,88755,7041,9,7,3,37,0,1,2
95,1154,4,2022,3,60825,18767,26,1,3,33,0,4,4
96,1382,2,2022,3,41934,10846,14,5,3,26,0,5,3
97,1133,2,2023,12,30574,5876,10,0,3,19,0,3,3
98,1227,7,2023,7,63179,19924,25,7,4,31,0,4,4
99,1189,6,2023,1,26587,12889,23,1,3,3,0,3,5
100,1265,8,2022,9,67782,13882,12,5,5,4,0,1,4
101,1372,3,2022,11,79412,14738,31,6,4,7,0,5,2
102,1134,2,2023,6,85561,21019,36,5,4,21,0,2,2
103,1211,1,2023,4,102224,1095,3,4,3,6,1,5,3
104,1060,5,2022,3,29409,5901,12,7,3,21,1,2,2
105,1377,4,2023,3,96319,8215,8,7,4,29,0,4,4
106,1395,6,2022,2,51751,12911,33,2,3,36,0,2,3
107,1364,8,2024,2,63174,14123,36,7,3,15,0,2,4
108,1364,7,2024,12,81572,28132,6,4,3,14,0,4,4
109,1213,5,2022,10,86416,1079,0,1,3,4,0,5,3
110,1216,3,2022,5,37041,29657,11,6,4,2,0,4,5
111,1226,6,2023,9,48227,12510,20,3,3,22,0,1,2
112,1131,8,2022,2,60201,24754,10,6,4,9,0,1,1
113,1076,4,2023,2,61069,19231,13,6,3,4,0,2,1
114,1286,4,2024,12,107190,18344,33,7,4,22,0,4,1
115,1277,7,2023,6,51370,1473,33,6,5,14,0,4,2
116,1156,1,2024,10,36586,4888,24,7,5,17,0,4,5
117,1248,7,2023,2,75231,4979,3,4,3,24,0,5,4
118,1218,3,2022,12,30322,1212,25,3,1,7,0,3,3
119,1190,6,2024,4,90294,22081,15,5,3,30,0,3,5
120,1163,6,2023,6,104468,9001,9,7,4,20,1,3,1
121,1180,2,2023,5,54299,13248,1,1,4,1,0,5,2
122,1034,1,2022,1,115715,419,34,2,4,21,0,4,2
123,1041,1,2022,6,95793,15608,18,3,3,7,0,3,3
124,1307,6,2024,1,71501,3659,5,1,4,22,0,4,4
125,1338,6,2022,3,82134,5283,18,7,3,31,0,2,5
126,1314,5,2024,10,34777,28392,7,3,4,7,0,3,5
127,1075,8,2024,5,36249,25854,13,7,3,3,0,2,5
128,1279,5,2024,10,46390,10715,9,4,4,29,0,5,4
129,1176,5,2023,5,45369,16165,2,1,1,18,0,1,4
130,1384,1,2023,10,37881,26016,37,4,3,22,0,5,4
131,1150,2,2024,6,34587,1340,28,0,4,17,0,5,3
132,1273,4,2022,12,118800,26797,14,1,3,28,0,5,2
133,1325,5,2023,10,99327,14805,22,3,4,22,0,3,1
134,1108,2,2023,8,112911,10584,22,0,4,32,0,2,4
135,1139,7,2023,5,113147,14780,17,4,4,17,0,3,2
136,1350,3,2023,11,32833,5137,18,4,3,32,0,1,4
137,1271,5,2023,1,72013,21573,27,3,3,6,0,5,1
138,1347,7,2023,5,88620,17745,25,0,4,27,0,4,4
139,1289,4,2024,3,40754,591,9,6,3,0,0,1,2
140,1212,3,2022,4,103113,526,3,5,4,38,0,2,3
141,1381,3,2024,8,111784,7855,1,2,3,33,1,1,1
142,1272,4,2023,7,60282,10695,2,3,3,38,1,3,2
143,1066,5,2024,11,61737,1292,6,4,3,18,1,4,5
144,1248,1,2023,5,49124,18038,15,1,1,30,0,3,5
145,1156,4,2024,2,95102,29482,30,0,3,12,0,5,5
146,1047,4,2022,6,27196,16571,9,7,4,23,0,5,3
147,1201,4,2024,11,86527,19142,18,5,4,4,0,1,4
148,1148,3,2022,6,110395,25104,27,2,3,22,0,5,4
149,1124,8,2024,10,36345,8625,16,1,5,18,1,5,4
150,1001,2,2024,10,59077,6431,27,0,4,0,0,2,3
151,1247,7,2022,11,91400,22421,18,5,5,32,0,2,5
152,1343,1,2022,6,37055,15926,36,3,4,32,0,3,4
153,1128,5,2024,9,110283,11704,22,7,4,31,0,3,3
154,1191,5,2022,11,69484,26380,19,5,2,27,0,2,3
155,1067,7,2024,8,102514,24878,12,3,3,36,0,1,2
156,1004,2,2022,8,115135,20566,12,7,1,11,0,2,4
157,1303,4,2022,1,60771,23357,10,7,4,8,0,3,5
158,1294,8,2024,5,82654,437,14,6,3,10,0,4,1
159,1143,1,2023,7,71540,10780,16,0,4,32,0,5,3
160,1191,5,2024,6,108151,29717,27,7,3,18,0,4,2
161,1021,7,2023,5,54377,17216,18,5,4,33,0,4,1
162,1227,6,2023,8,74573,8988,3,7,2,6,0,5,3
163,1313,8,2023,3,67733,25135,21,2,3,30,1,2,2
164,1117,7,2023,6,36760,28164,21,5,3,1,0,1,4
165,1302,8,2023,5,50762,8953,36,0,3,18,0,4,2
166,1142,5,2023,8,75986,5794,38,1,3,37,0,1,3
167,1039,4,2023,4,59332,3574,33,1,4,31,0,3,4
168,1393,6,2022,8,65100,20169,32,5,2,9,0,4,5
169,1355,2,2024,10,29944,27090,39,5,3,7,0,3,2
170,1252,1,2022,2,73825,21604,32,3,4,25,0,2,1
171,1333,2,2023,9,38877,24134,11,0,2,29,0,4,4
172,1207,2,2022,9,54990,16301,1,3,5,10,0,3,4
173,1210,7,2023,10,80283,23202,27,2,5,19,0,3,5
174,1115,8,2024,10,28258,684,9,6,2,19,0,2,2
175,1225,1,2022,6,56629,29836,21,1,3,8,0,1,1
176,1134,1,2022,4,62579,4233,16,7,3,7,0,1,5
177,1251,5,2022,4,47958,16961,25,7,4,14,1,4,2
178,1219,5,2023,6,64465,12997,2,4,4,33,1,2,1
179,1091,1,2024,5,110853,8007,6,4,4,23,0,4,1
180,1354,6,2022,6,40775,16611,7,0,4,32,1,1,3
181,1376,3,2024,7,101575,2328,19,7,2,39,0,2,1
182,1046,5,2023,7,119633,19115,11,0,4,26,1,5,2
183,1038,3,2023,9,59207,9019,34,4,4,20,0,2,5
184,1142,7,2024,8,47553,16814,16,0,4,4,0,2,5
185,1100,6,2023,6,78632,9255,27,1,5,34,0,5,3
186,1328,1,2023,12,25055,18093,9,2,4,20,0,3,2
187,1190,6,2022,6,113697,5782,21,2,3,3,0,3,1
188,1035,5,2022,5,57873,1234,37,7,3,15,1,3,3
189,1147,2,2022,1,105720,24877,32,3,3,30,1,1,4
190,1030,7,2022,9,91205,5205,21,1,2,25,0,2,2
191,1334,1,2023,9,103199,1420,36,6,5,34,0,5,3
192,1084,4,2023,9,50318,29204,12,0,2,5,0,1,5
193,1369,7,2023,11,58734,17152,26,0,4,32,0,5,3
194,1281,8,2022,8,107227,22418,14,7,4,20,0,1,4
195,1344,3,2022,10,43522,9596,21,6,1,15,0,1,2
196,1270,6,2023,3,36656,25019,29,3,5,38,0,1,3
197,1154,1,2024,1,40893,19488,39,3,5,33,0,5,1
198,1102,7,2022,11,41493,4355,36,0,4,14,0,4,2
199,1215,6,2024,12,28632,19689,33,0,3,5,0,1,3
200,1150,1,2023,12,113648,17922,33,6,2,1,0,3,3
201,1083,5,2023,8,86779,28506,34,7,3,23,1,2,2
202,1110,7,2023,7,63452,17715,18,1,3,27,0,4,5
203,1387,5,2022,5,38266,24552,7,6,4,0,0,4,1
204,1275,7,2022,10,86607,23323,38,3,5,0,0,5,2
205,1201,5,2023,7,41940,8261,32,6,4,27,0,4,1
206,1284,8,2023,10,49003,13765,27,6,5,35,0,5,1
207,1173,6,2024,4,59815,21942,36,6,4,19,0,5,2
208,1327,4,2023,9,55869,5944,24,1,3,7,0,3,3
209,1206,7,2022,11,74297,28011,35,5,5,0,0,1,5
210,1063,8,2024,10,85107,7126,16,0,3,25,0,4,1
211,1073,7,2022,2,107793,16864,23,4,5,24,0,1,1
212,1251,5,2023,9,41682,5263,20,7,3,9,0,1,3
213,1124,1,2023,9,44622,20478,1,6,2,11,0,1,2
214,1375,7,2024,5,55408,22551,30,7,5,6,1,5,5
215,1121,8,2024,11,33837,15300,32,4,4,11,0,1,1
216,1275,5,2023,1,89210,28072,29,5,5,39,0,4,1
217,1398,2,2023,7,40407,2793,11,0,5,16,0,5,2
218,1120,5,2024,10,54309,2892,11,3,2,4,0,4,3
219,1317,6,2022,10,96918,1198,23,4,4,13,0,5,4
220,1164,4,2022,4,118190,24395,23,7,3,33,0,2,3
221,1286,2,2022,9,43895,18756,10,7,4,16,0,2,1
222,1265,6,2022,6,111912,18276,12,7,4,34,0,2,1
223,1320,6,2023,3,25370,22174,26,3,3,0,0,2,5
224,1161,6,2023,6,25486,1883,7,4,4,35,0,5,3
225,1376,1,2023,10,48762,21851,9,7,4,14,0,1,4
226,1308,6,2022,6,51613,797,7,3,2,18,1,3,5
227,1089,1,2024,5,28196,8209,19,6,4,4,0,3,4
228,1142,6,2023,2,119937,8235,7,7,4,18,0,2,5
229,1203,3,2023,10,101349,16538,8,4,5,38,0,1,3
230,1309,8,2023,10,89839,21346,6,3,3,4,0,4,1
231,1227,2,2023,2,66916,15257,13,5,2,11,0,1,4
232,1334,3,2022,7,33572,28024,27,1,4,18,1,4,3
233,1222,6,2022,2,53225,29414,1,3,2,11,0,3,4
234,1041,2,2024,12,70853,20464,7,1,5,35,0,1,3
235,1196,2,2024,6,74390,8050,12,1,1,11,0,1,5
236,1068,7,2023,5,57275,5947,20,0,4,17,0,3,3
237,1264,4,2022,4,97379,9617,27,6,4,33,0,1,5
238,1002,3,2023,7,26105,20704,34,5,3,32,0,4,1
239,1361,4,2024,8,84896,28888,22,1,2,17,0,1,5
240,1125,2,2024,4,68209,28215,14,2,4,28,0,4,2
241,1110,1,2022,1,67487,28702,1,6,4,4,0,2,1
242,1086,2,2022,1,43051,1892,11,1,3,24,1,1,3
243,1120,4,2024,1,119244,29754,35,3,5,23,0,4,3
244,1127,3,2023,11,102400,25473,2,1,3,28,0,3,2
245,1255,6,2022,1,91961,3424,4,3,3,37,0,2,3
246,1183,7,2022,5,85156,29116,2,7,4,32,0,1,1
247,1016,7,2023,4,82175,9450,18,3,2,9,0,4,1
248,1062,7,2024,9,31849,13418,1,2,5,36,0,1,5
249,1369,6,2024,3,43976,29886,36,1,3,32,0,4,4
250,1158,7,2023,7,81866,2015,16,1,2,22,1,1,3
251,1268,3,2023,11,72078,23057,13,4,3,10,0,2,2
252,1035,6,2022,8,56113,22416,27,6,4,23,0,2,1
253,1267,7,2023,6,40401,4833,26,4,4,23,0,1,1
254,1064,6,2023,12,37884,9894,9,0,4,6,0,1,1
255,1050,4,2023,10,109360,15942,2,3,2,20,0,5,4
256,1255,8,2023,1,62563,9065,35,2,3,19,0,1,4
257,1149,8,2022,8,59414,565,37,4,4,9,0,1,3
258,1325,3,2022,10,41142,7412,24,1,2,24,1,2,2
259,1304,5,2023,3,96492,18402,21,0,5,35,0,1,4
260,1276,1,2022,8,104464,10077,38,2,2,14,0,3,5
261,1357,7,2022,12,100257,10315,29,5,4,39,0,1,4
262,1172,1,2024,4,101693,12834,20,1,3,39,1,5,1
263,1201,6,2023,8,60135,2314,29,1,4,5,1,4,2
264,1393,1,2023,11,97232,4412,27,7,3,36,0,2,3
265,1324,3,2024,1,52862,3883,30,5,2,1,0,3,4
266,1035,3,2024,3,30190,11384,25,3,3,11,0,4,1
267,1216,2,2023,6,95199,10051,21,3,2,3,0,3,5
268,1065,8,2024,9,29331,8216,20,4,3,22,0,2,5
269,1008,7,2023,2,77186,11695,0,4,4,12,1,5,3
270,1301,2,2023,11,69648,28831,36,1,4,16,0,2,3
271,1343,1,2023,1,53549,23123,12,6,4,30,0,3,4
272,1332,5,2023,10,106782,25713,20,1,4,15,0,3,3
273,1076,2,2023,3,50761,7902,8,4,4,25,0,2,1
274,1174,2,2023,4,28262,13187,16,5,3,27,0,1,1
275,1047,3,2022,11,76259,17573,20,4,3,0,0,2,1
276,1015,5,2023,5,97572,23540,30,1,3,11,1,5,4
277,1361,6,2022,3,78472,29374,38,2,4,36,0,2,4
278,1147,1,2023,10,112858,23726,21,1,3,19,0,4,3
279,1026,2,2023,11,109667,12288,11,2,1,1,0,1,4
280,1308,5,2024,2,29677,14210,5,2,4,35,0,4,1
281,1093,8,2024,2,98508,6884,15,1,3,14,1,2,2
282,1232,7,2024,7,105865,19541,25,6,5,37,0,1,1
283,1021,5,2023,9,75617,10559,4,6,5,21,0,4,2
284,1307,8,2024,10,111029,21904,8,0,2,31,0,4,3
285,1038,1,2023,2,43595,29053,39,4,2,19,0,1,5
286,1276,5,2022,7,112459,18125,13,6,3,35,0,1,4
287,1157,8,2022,7,85148,3688,29,3,4,32,0,3,4
288,1179,5,2022,11,71926,23869,25,1,3,14,0,1,1
289,1132,5,2023,7,100271,14114,28,2,4,2,1,2,1
290,1311,7,2023,3,59457,5369,18,1,4,28,0,5,2
291,1348,8,2024,12,67531,22028,7,4,3,26,0,3,4
292,1028,8,2022,7,98263,11938,22,5,1,4,0,1,3
293,1260,2,2022,1,98300,25473,34,6,4,30,1,5,1
294,1076,1,2024,10,88171,4023,30,6,3,21,0,3,4
295,1067,7,2022,1,70771,15982,34,6,4,34,0,2,5
296,1342,5,2023,5,118135,17100,31,2,3,6,0,5,2
297,1194,5,2023,2,91354,3967,4,3,4,5,0,1,1
298,1162,2,2023,9,62289,7423,15,7,5,25,0,1,1
299,1347,1,2022,7,58892,6450,16,3,5,0,1,2,3
300,1361,3,2022,4,96196,12213,31,6,3,18,0,3,1
301,1257,7,2022,4,63409,3215,37,3,3,6,0,5,4
302,1072,2,2023,2,59470,24209,31,5,4,35,0,2,4
303,1087,1,2023,5,43385,390,19,6,3,11,0,3,4
304,1262,7,2022,4,48296,28460,1,0,3,19,0,4,5
305,1214,5,2023,12,86716,26275,19,2,5,22,0,4,5
306,1153,1,2024,1,114152,19421,17,5,3,24,0,3,1
307,1210,1,2022,12,51382,232,0,7,1,29,0,1,5
308,1061,6,2023,8,101675,26502,28,2,1,28,0,1,5
309,1268,1,2023,3,47419,19515,28,7,4,30,0,4,3
310,1262,3,2022,6,118321,29991,18,6,4,17,0,1,5
311,1218,1,2023,4,106238,7634,39,5,3,18,1,1,2
312,1283,3,2023,9,119753,11498,5,6,3,3,1,3,2
313,1136,5,2024,7,64291,10916,38,7,3,0,0,3,2
314,1380,3,2024,9,37397,29377,7,7,4,14,0,1,1
315,1362,7,2023,10,82888,233,23,5,2,7,0,3,4
316,1093,5,2024,3,60169,1391,19,6,5,14,0,5,3
317,1109,5,2023,1,87182,11084,13,0,3,14,0,4,1
318,1241,3,2023,5,117476,9447,4,2,5,38,0,5,4
319,1355,8,2023,3,67249,14184,39,5,3,21,0,5,3
320,1142,2,2022,6,53341,27114,33,0,4,17,1,1,3
321,1291,4,2024,8,100603,11882,15,1,3,15,0,1,3
322,1237,8,2023,11,71144,14838,6,6,2,1,0,5,2
323,1340,1,2023,4,86772,17273,15,4,5,35,0,5,2
324,1312,6,2024,5,104360,7902,6,5,5,19,0,2,2
325,1177,4,2022,5,38444,12879,26,3,3,15,0,2,3
326,1141,1,2023,4,70647,17129,13,0,4,2,0,4,3
327,1189,8,2022,4,35974,9911,13,0,4,29,0,5,2
328,1049,8,2024,4,63383,427,32,5,5,1,0,3,3
329,1302,1,2024,4,119826,731,32,7,3,34,0,2,2
330,1369,5,2023,4,106552,799,19,0,4,25,0,1,2
331,1190,1,2023,5,119049,22891,35,1,3,4,0,5,2
332,1136,6,2023,2,27956,28873,6,0,3,1,1,3,4
333,1043,8,2024,2,33077,7025,31,4,5,19,0,3,3
334,1380,1,2023,9,61490,14481,2,4,3,33,0,3,1
335,1353,3,2023,2,80612,25411,38,7,2,33,0,1,2
336,1090,4,2024,6,61159,7624,28,6,4,19,0,2,1
337,1295,3,2022,2,64710,24710,23,6,4,24,0,3,4
338,1341,6,2022,5,108536,14961,21,7,3,19,1,2,3
339,1245,1,2023,4,38806,21767,5,3,3,24,0,4,2
340,1192,7,2024,12,103345,22591,23,1,5,13,0,1,2
341,1318,6,2023,7,105391,18922,39,4,3,38,0,2,2
342,1106,5,2022,7,119924,20102,22,7,4,11,0,2,1
343,1363,3,2023,6,31458,8232,37,5,4,4,0,3,4
344,1310,3,2023,10,60524,3367,9,2,3,1,0,3,3
345,1382,2,2022,5,31853,21392,15,2,5,15,0,1,4
346,1233,1,2023,1,65477,13262,10,2,4,29,0,2,2
347,1265,5,2024,12,57222,5229,31,6,3,37,1,5,4
348,1344,7,2023,3,43320,23772,5,5,4,23,0,3,1
349,1037,3,2023,9,119154,18799,23,0,4,29,0,3,5
350,1305,3,2023,1,77243,13747,32,5,4,36,0,4,5
351,1041,5,2022,5,70615,23555,11,0,5,38,0,1,3
352,1017,6,2024,2,42352,26616,26,2,3,10,0,2,3
353,1344,6,2023,4,97833,28915,37,3,3,13,0,2,4
354,1277,1,2023,11,118476,19333,17,3,3,22,0,2,3
355,1307,8,2023,1,28203,4261,38,7,1,15,0,3,1
356,1059,2,2023,3,64267,21529,12,0,1,20,0,1,2
357,1183,3,2023,10,62941,3466,39,2,5,3,0,2,2
358,1041,8,2022,7,107809,13785,29,5,4,32,0,5,4
359,1039,8,2024,10,50368,3088,12,3,4,13,0,4,2
360,1397,2,2024,3,102186,13015,33,0,4,18,0,4,4
361,1192,8,2023,4,55984,1115,35,7,4,4,0,2,3
362,1267,8,2024,2,66941,4578,29,5,3,35,0,3,3
363,1147,6,2022,3,97918,2590,24,2,5,30,0,4,1
364,1395,6,2023,9,77683,7372,1,1,3,17,1,4,2
365,1333,4,2023,3,25801,3573,35,2,5,30,0,4,1
366,1127,7,2023,11,72965,2978,17,6,4,29,0,4,5
367,1046,1,2023,5,110269,10639,4,2,3,20,0,2,1
368,1045,8,2023,2,34969,9422,18,7,4,29,0,1,4
369,1001,4,2022,4,60969,10858,17,5,4,3,0,1,4
370,1168,7,2023,12,107269,23697,31,7,2,4,0,3,1
371,1108,4,2022,7,57449,23406,20,5,4,9,0,5,3
372,1019,4,2024,7,116679,4975,9,4,3,26,0,1,5
373,1332,1,2022,12,50705,4925,36,4,2,15,0,5,1
374,1072,1,2022,3,85303,24431,21,5,5,29,0,1,3
375,1109,5,2023,5,53363,24474,12,5,4,12,0,1,1
376,1268,2,2023,1,55720,29430,16,1,5,35,0,3,2
377,1240,2,2024,10,34972,28834,8,1,4,20,0,4,4
378,1301,5,2023,10,58351,24435,23,2,3,39,0,3,2
379,1090,5,2023,10,61145,21676,13,7,4,14,0,1,2
380,1103,6,2024,11,112948,23029,7,6,4,19,0,4,5
381,1250,7,2023,1,114614,10786,36,7,5,19,0,4,3
382,1008,4,2022,5,113116,21787,18,3,3,4,0,4,4
383,1153,8,2023,10,81235,19814,27,7,5,31,0,5,2
384,1347,5,2024,9,39855,14716,29,6,5,5,0,1,4
385,1174,3,2023,1,61169,27493,6,1,4,29,0,2,3
386,1343,2,2022,1,71404,27528,25,2,5,25,0,3,1
387,1158,5,2022,4,44569,1995,39,6,3,36,0,5,2
388,1215,3,2022,4,79437,22414,10,7,5,12,0,3,3
389,1177,3,2023,2,73506,13844,13,0,4,28,1,2,4
390,1175,3,2023,9,50738,3891,20,4,1,4,0,4,3
391,1340,6,2022,9,31772,15522,7,6,5,24,0,2,1
392,1338,6,2024,2,115410,7145,2,3,3,12,0,3,3
393,1146,8,2024,9,44731,8498,27,2,3,23,0,2,4
394,1324,8,2023,6,35131,9554,28,6,4,30,0,1,2
395,1161,3,2024,8,91324,2102,22,5,2,19,0,2,2
396,1127,7,2022,10,79097,3030,17,7,3,7,1,1,5
397,1082,6,2023,4,106720,8524,34,0,4,8,0,2,4
398,1147,4,2023,2,27889,8107,12,4,1,20,0,1,5
399,1239,3,2024,2,34569,27328,11,0,3,19,0,1,5
400,1084,4,2024,9,112193,16626,4,2,1,14,0,2,1
401,1113,4,2022,1,100677,18268,38,7,3,25,0,5,4
402,1225,3,2024,12,110192,14935,10,1,4,10,0,4,2
403,1332,2,2022,7,112154,24399,10,4,4,36,0,4,4
404,1378,7,2024,11,102470,9624,30,7,5,10,0,4,1
405,1243,3,2024,3,113822,27126,30,0,4,26,0,1,4
406,1143,8,2022,3,32612,23131,12,1,3,29,0,4,4
407,1041,3,2024,2,76644,24878,13,3,5,18,0,1,5
408,1258,6,2022,10,57069,15823,24,2,4,33,0,5,4
409,1285,3,2023,6,106741,20714,32,2,4,37,1,2,5
410,1105,2,2023,10,52331,7863,32,4,4,22,0,2,5
411,1202,6,2023,2,80897,3109,14,0,5,0,0,1,3
412,1307,8,2024,10,38934,18570,15,3,4,2,1,1,1
413,1331,1,2023,4,35095,12482,37,5,3,2,0,5,5
414,1266,1,2023,10,116494,1550,5,4,4,27,0,4,4
415,1398,4,2024,9,43706,26368,24,7,1,13,0,5,5
416,1210,7,2024,9,68516,646,14,5,3,29,0,2,5
417,1051,4,2022,6,59629,22528,3,4,3,4,1,2,5
418,1118,2,2024,4,71910,21040,3,0,3,14,0,4,2
419,1201,5,2022,7,113540,13407,29,3,1,37,0,2,2
420,1377,8,2024,1,45431,25288,33,0,2,13,0,1,2
421,1039,7,2022,12,81733,12700,26,2,4,13,0,2,2
422,1028,8,2022,4,65088,537,30,5,4,7,0,3,3
423,1259,1,2023,5,69135,14166,31,1,5,7,0,4,5
424,1084,4,2023,8,63015,6572,38,6,3,18,0,4,3
425,1155,8,2023,12,56385,234,8,7,4,31,0,4,4
426,1117,1,2022,2,95199,26972,7,2,5,30,1,3,1
427,1002,2,2023,12,63677,14067,13,2,3,28,0,5,3
428,1093,2,2024,5,37818,9696,32,5,4,10,0,1,2
429,1166,5,2023,6,113222,14150,22,7,4,12,0,4,2
430,1387,8,2022,5,88001,22923,20,4,2,26,0,2,4
431,1400,5,2023,9,48977,17758,11,2,5,18,0,1,5
